Fecha de Atencion,De 0 a antes de 1,De 01 a 05 ,De 06 a 09,De 10 a 14,De 15 a 18 ,De 19 a 26,De 27 a 44,De 45 a 59,De 60 y mas,No Definido,Total general
3/8/15,2.083,13.622,7.06,6.988,6.687,14.314,24.017,16.006,18.098,,108.751
3/9/15,10.95,52.692,27.7,28.643,27.498,65.428,130.963,102.103,99.59,,544.651
3/10/15,11.038,52.959,27.798,28.307,27.049,65.433,131.23,102.737,100.398,,546.001
3/11/15,10.526,58.035,31.225,31.947,30.399,73.053,147.65,114.954,111.48,,608.237
3/12/15,9.963,54.695,30.269,30.708,29.307,69.98,140.783,108.541,104.851,,578.147
3/13/15,10.095,44.472,24.616,25.056,24.91,58.829,117.069,89.021,85.386,,478.744
3/14/15,5.162,22.479,14.011,15.134,13.064,29.277,58.504,40.979,36.691,,234.903
3/15/15,2.333,9.86,4.441,5.106,4.893,11.341,19.148,12.311,13.874,,83.219
3/16/15,11.585,49.438,26.309,27.198,25.891,61.788,123.695,94.297,90.906,,510.359
3/17/15,11.392,51.384,27.56,27.901,26.322,63.032,127.234,97.501,94.197,,525.708
3/18/15,10.376,46.924,25.835,26.46,25.418,60.699,121.401,94.001,89.591,,499.998
3/19/15,10.364,45.947,25.256,26.029,25.052,59.012,119.468,92.58,88.358,,491.341
3/20/15,9.974,43.171,23.733,24.767,24.318,56.482,113.575,87.583,83.818,,466.71
3/21/15,4.865,21.061,12.933,13.854,11.928,27.743,55.495,38.245,34.741,,220.551
3/22/15,2.288,9.133,4.195,4.535,4.553,10.347,17.38,10.739,12.017,,75.098
3/23/15,2.539,10.258,4.879,5.377,5.206,11.038,18.738,11.642,12.984,,82.57
3/24/15,12.319,49.717,25.558,26.26,25.743,62.309,123.816,96.237,94.796,,516.033
3/25/15,11.268,48.346,27.188,27.795,26.57,61.549,122.793,95.663,91.803,,512.238
3/26/15,11.363,47.067,24.604,24.783,24.945,60.753,120.628,94.253,91.004,,498.646
3/27/15,10.603,43.726,23.707,24.051,24.115,58.169,114.838,88.279,84.614,,471.401
3/28/15,5.203,23.025,13.263,14.598,12.731,29.056,57.743,40.149,36.515,,231.917
3/29/15,2.342,7.502,2.591,2.652,3.25,8.215,13.658,8.481,10.453,,59.041
3/30/15,11.068,42.994,23.609,25.129,24.012,55.842,112.627,88.252,83.73,,466.54
3/31/15,10.476,43.242,23.546,24.728,24.663,56.967,114.048,88.691,83.861,,469.447
4/1/15,9.588,39.829,22.031,23.326,23.766,54.011,105.369,82.388,79.243,,438.898
4/2/15,2.62,10.107,4.633,5.267,5.036,10.985,17.427,11.343,13.26,,80.536
4/3/15,2.352,10.674,5.431,6.288,5.869,11.936,19.968,12.757,13.895,,89.067
4/4/15,3.555,12.002,6.161,6.935,7.234,17.032,31.284,22.086,20.895,,126.995
4/5/15,2.473,10.496,4.754,5.657,5.583,12.089,19.925,12.536,13.975,,87.364
4/6/15,12.671,48.427,26.622,27.905,28.2,65.358,127.328,100.86,100.856,,537.364
4/7/15,13.099,50.824,27.685,29.973,29.069,68.128,133.863,105.855,106.632,,564.258
4/8/15,12.199,53.887,30.205,32.213,30.59,69.621,136.701,108.323,108.904,,581.652
4/9/15,12.435,54.412,30.051,32.558,31.496,71.54,139.778,109.642,110.9,,591.855
4/10/15,11.824,48.748,27.543,29.325,28.873,66.448,129.274,99.667,99.172,,540.027
4/11/15,6.014,34.445,20.398,22.108,19.554,44.503,89.515,65.651,61.181,,362.869
4/12/15,2.573,16.965,9.282,10.1,9.281,20.52,37.132,26.727,28.963,,161.387
4/13/15,12.923,52.466,27.738,30.006,28.861,67.655,134.473,106.812,107.785,,567.769
4/14/15,13.01,53.011,29.801,31.875,30.461,68.399,134.639,107.309,106.777,,574.466
4/15/15,11.992,50.841,28.6,31.255,29.211,65.322,129.375,102.973,103.531,,552.198
4/16/15,12.821,52.373,29.804,31.992,30.932,72.915,142.266,108.607,104.336,,585.211
4/17/15,11.236,47.007,26.32,28.502,27.233,62.515,122.508,95.148,93.176,,512.843
4/18/15,5.696,23.501,13.862,15.786,13.968,30.894,60.835,43.47,40.157,,247.752
4/19/15,2.568,10.113,4.563,5.115,5.051,11.394,18.242,11.559,13.072,,81.568
4/20/15,13.587,54.163,28.671,31.228,29.926,68.517,135.879,107.42,105.849,,574.367
4/21/15,13.482,54.035,29.505,31.46,29.717,67.888,133.722,106.872,105.583,,571.39
4/22/15,12.513,53.495,29.147,31.397,30.442,67.881,132.796,106.024,102.12,,564.946
4/23/15,12.562,52.251,28.404,30.919,29.823,66.498,132.113,104.531,100.891,,557.19
4/24/15,11.965,47.84,26.828,30.183,28.763,63.701,124.957,96.753,93.735,,523.914
4/25/15,8.244,32.116,15.083,16.671,14.56,32.118,62.682,48.317,49.384,,278.718
4/26/15,2.771,10.701,4.776,5.494,5.312,11.389,19.199,12.842,14.506,,86.858
4/27/15,14.55,55.383,29.12,31.386,30.245,67.664,134.044,107.919,106.586,,575.942
4/28/15,14.418,56.292,30.054,31.777,30.534,66.957,132.064,106.331,106.217,,573.741
4/29/15,13.813,53.424,27.592,29.688,28.768,63.963,128.449,103.888,104.393,,553.106
4/30/15,13.692,53.3,28.259,31.096,30.003,65.707,131.513,109.104,113.902,,575.576
5/1/15,3.305,11.791,4.375,4.617,5.082,12.177,20.077,14.624,19.701,,95.572
5/2/15,5.034,20.71,11.197,12.293,11.148,25.78,50,35.398,34.011,,205.234
5/3/15,2.584,11.281,4.485,5.03,5.256,12.169,19.346,11.811,13.761,,85.585
5/4/15,11.959,51.662,27.235,28.787,27.489,63.88,124.654,98.943,99.307,,532.922
5/5/15,12.165,53.207,28.429,29.91,28.623,63.632,124.306,100.384,102.937,,542.528
5/6/15,11.858,53.036,28.632,30.52,29.046,66.025,126.834,101.236,103.909,,549.999
5/7/15,11.222,51.308,27.804,30.276,28.24,64.655,124.991,99.887,102.021,,539.314
5/8/15,10.446,50.845,27.579,30.004,29.226,64.471,124.014,98.836,100.472,,534.813
5/9/15,5.522,25.982,14.836,16.257,14.275,31.538,60.958,43.551,42.438,,254.871
5/10/15,2.593,18.24,9.124,9.647,9.401,20.128,34.782,25.939,29.123,,158.762
5/11/15,12.076,61.866,32.649,34.076,32.529,76.803,151.886,120.559,121.767,,642.964
5/12/15,12.271,56.398,30.114,31.819,30.038,68.867,135.898,108.374,113.538,,586.203
5/13/15,11.821,52.68,28.224,29.011,27.985,65.764,127.139,101.601,106.049,,549.24
5/14/15,11.633,51.622,27.47,28.562,27.851,65.376,126.309,101.036,104.058,,542.838
5/15/15,10.952,47.92,26.435,28.401,26.931,61.549,119.501,95.073,97.296,,513.054
5/16/15,5.409,22.772,13.404,14.597,12.59,28.436,55.775,39.582,38.74,,230.868
5/17/15,2.576,9.734,4.405,5.296,5.06,11.293,18.272,11.586,14.325,,82.304
5/18/15,2.708,10.235,4.925,5.476,5.294,11.908,19.342,12.22,15.175,,87.074
5/19/15,13.469,54.786,27.916,29.136,28.482,66.632,128.826,102.863,106.705,,557.675
5/20/15,12.646,55.023,28.992,30.556,29.4,67.079,130.314,103.312,108.227,,564.434
5/21/15,11.774,52.512,28.286,30.782,28.611,65.465,126.78,100.709,102.879,,546.712
5/22/15,10.789,48.806,26.76,29.238,27.783,62.679,121.407,96.138,95.897,,518.615
5/23/15,5.693,23.95,13.632,15.124,13.246,29.422,58.136,41.538,40.433,,240.74
